"An error occurred while cleaning the url.","Es trat ein Fehler auf beim Entfernen der Url."
"Clean url","Url entfernen"
"No url to clean.","Keine URL zu entfernen."
"Page Cache Url Clean","Seiten-Cache URL entfernen"
"The url was cleaned.","Die URL wurde entfernt."
